Participants,TrailNum,result,time,
0,1,4,0.4425503,
0,0,54,0.9751552,
0,3,65,0.7611677,
0,4,12,0.7397255,
0,19,43,0.7386881,
0,20,54,0.5225916,
0,25,65,0.4770067,
0,5,5,0.3817476,
0,26,6,0.5590452,
0,16,2,0.6203569,
0,8,53,1.160773,
0,14,54,0.7808084,
0,23,6.4,1.421352,
0,22,5.3,1.577455,
0,27,43,2.180627,
0,29,6,0.3822918,
0,11,3,0.8402106,
0,7,6,0.8994446,
0,15,5,0.7780856,
0,18,6,0.6602233,
0,28,74,1.539651,
0,21,5,0.5603973,
0,2,6,1.099156,
0,24,65,2.30215,
0,9,34,0.619698,
0,6,56,0.9592006,
0,12,34,0.7602432,
0,13,65,0.8589028,
0,17,34,0.7785465,
0,10,65,4.819099,
