Participants,TrailNum,result,time,
0,21,12,1.979943,
0,22,43,0.838721,
0,17,54,0.7213172,
0,13,23,0.8435653,
0,25,43,0.7229055,
0,26,12,0.700958,
0,10,43,0.8825234,
0,15,12,0.721755,
0,0,43,0.884777,
0,6,54,0.8226131,
0,11,12,0.6596568,
0,19,43,0.7400602,
0,14,54,0.8995545,
0,16,65,0.6591623,
0,20,65,0.7818073,
0,18,23,0.8038333,
0,7,54,0.7775748,
0,1,12,0.6978109,
0,12,43,0.8029318,
0,2,12,0.6020911,
0,27,54,0.8817229,
0,23,12,0.6790066,
0,28,43,0.7775215,
0,5,54,0.9972005,
0,24,12,0.8811598,
0,4,54,1.120897,
0,29,12,0.6986961,
0,8,54,2.219754,
0,3,12,1.641681,
0,9,43,1.062223,
