Participants,TrailNum,result,time,
0,18,12,0.6806101,
0,10,43,0.4597326,
0,19,56,0.8019671,
0,25,23,0.6205397,
0,6,54,0.4992965,
0,12,32,0.5649157,
0,0,54,0.9206131,
0,27,64,0.7203071,
0,13,32,0.521697,
0,7,56,0.6372744,
0,15,7,0.3602326,
0,20,23,1.298982,
0,1,54,0.7186472,
0,26,65,0.6613843,
0,8,23,0.616097,
0,14,12,0.7994859,
0,16,54,0.6994312,
0,28,12,0.5813602,
0,17,54,0.635682,
0,21,65,0.7203356,
0,11,76,0.5414966,
0,2,87,0.498843,
0,9,86,1.281664,
0,5,34,0.6393678,
0,23,65,2.121037,
0,4,56,1.023727,
0,3,34,0.7000584,
0,22,23,1.576196,
0,24,54,0.799228,
0,29,23,1.199411,
