Participants,TrailNum,result,time,
0,10,12,2.457803,
0,4,43,0.8613002,
0,12,54,0.6016349,
0,29,23,0.6804473,
0,20,53,0.8003392,
0,14,65,0.7956547,
0,7,36,0.9431108,
0,11,64,0.9186177,
0,18,74,1.21848,
0,21,43,0.7402539,
0,15,65,0.8415214,
0,9,23,0.6595483,
0,19,65,1.059753,
0,24,23,0.7411513,
0,22,65,0.7815295,
0,5,12,0.981267,
0,1,65,0.7209364,
0,16,34,1.159708,
0,3,75,0.8168491,
0,6,74,0.9201032,
0,13,75,0.8815438,
0,0,34,0.9206712,
0,17,54,0.8793346,
0,27,23,0.7390134,
0,23,23,1.001026,
0,26,65,0.800032,
0,28,12,0.8197217,
0,2,65,0.8395256,
0,25,23,0.8789489,
0,8,65,5.802224,
