Participants,TrailNum,result,time,
1,9,1,1.19146,
1,17,3,3.019909,
1,8,5,0.8599292,
1,26,7,0.7993014,
1,15,9,0.9998601,
1,13,5,0.9406801,
1,24,6,0.4986605,
1,27,8,0.7185702,
1,1,9,0.8809442,
1,2,7,0.640975,
1,7,4,0.7394477,
1,5,5,0.6624298,
1,9,7,0.642351,
1,14,8,0.6375078,
1,16,9,0.7180703,
1,18,4,0.8774737,
1,0,6,1.46043,
1,12,8,0.7177225,
1,19,9,0.9827713,
1,3,7,0.8162879,
1,21,5,0.8000218,
1,25,7,1.540225,
1,23,8,0.800961,
1,11,5,0.6829767,
1,10,6,0.8593858,
1,4,7,0.9602429,
1,6,8,0.9994864,
1,20,8,1.080164,
1,22,9,1.238586,
1,29,7,0.7984231,
