Participants,TrailNum,result,time,
0,29,12,1.380423,
0,7,4,0.5809568,
0,22,5,1.061109,
0,27,5,1.801902,
0,13,4,1.299071,
0,5,5,0.8424957,
0,12,23,1.662045,
0,1,54,0.940216,
0,24,64,1.179568,
0,4,32,1.176509,
0,10,42,1.473584,
0,15,32,1.196837,
0,20,43,1.762006,
0,14,53,1.040346,
0,11,54,1.062194,
0,16,65,0.9986277,
0,23,76,1.018885,
0,0,87,1.039447,
0,9,23,0.8591528,
0,28,45,0.9203287,
0,21,23,1.062572,
0,19,64,0.9391555,
0,18,76,0.7768685,
0,17,87,0.6813224,
0,26,45,0.8194312,
0,8,23,0.8599721,
0,6,65,0.8370214,
0,25,87,0.7191474,
0,3,54,0.7793087,
0,2,23,0.9584069,
