Participants,TrailNum,result,time,
0,21,12,0.8395739,
0,3,43,0.5571088,
0,7,65,0.7973719,
0,22,34,0.5583993,
0,25,65,0.5791261,
0,23,76,0.5826508,
0,0,23,0.8597146,
0,16,12,0.5959979,
0,2,54,0.7782786,
0,28,65,0.7633675,
0,24,76,0.8392273,
0,18,45,0.7193207,
0,15,76,0.7231986,
0,9,87,0.8578322,
0,13,34,1.560684,
0,5,76,0.5397238,
0,4,12,0.7587897,
0,26,54,0.7207983,
0,29,76,0.7016441,
0,6,34,0.860091,
0,19,65,0.7207183,
0,20,76,0.9208689,
0,27,85,1.079945,
0,10,54,0.9792177,
0,14,65,0.8999866,
0,11,23,0.6634636,
0,1,54,0.95665,
0,12,23,1.099932,
0,17,54,1.539392,
0,8,12,1.896933,
