Participants,TrailNum,result,time,
0,23,2,4.403051,
0,24,6,0.5372023,
0,3,8,7.122537,
0,21,7,0.6799651,
0,14,2,0.5568399,
0,26,4,0.5597252,
0,0,5,0.5382582,
0,18,3,0.6621921,
0,10,6,1.139345,
0,5,7,0.6187184,
0,8,8,0.6192442,
0,4,9,0.6187615,
0,19,4,0.9556388,
0,29,5,0.7181113,
0,15,7,0.6794895,
0,22,8,0.67849,
0,1,2,0.9572138,
0,7,3,0.659986,
0,27,6,0.5818951,
0,16,8,0.5834863,
0,20,9,0.6807652,
0,2,7,0.8203784,
0,11,6,0.5420621,
0,25,8,0.5979702,
0,12,4,0.7424046,
0,13,6,0.6586366,
0,17,8,0.8211417,
0,28,8,1.218897,
0,6,9,1.281826,
0,9,7,0.9024233,
