Participants,TrailNum,result,time,
0,7,23,1.439144,
0,22,43,0.6210544,
0,0,54,0.7553405,
0,24,64,1.059365,
0,16,23,0.5998957,
0,27,53,0.799493,
0,20,65,0.6627848,
0,15,32,0.4191661,
0,26,45,0.4800369,
0,29,6,0.7409007,
0,2,65,1.760905,
0,28,65,0.7803414,
0,21,76,0.998607,
0,17,65,0.6989954,
0,5,76,1.0786,
0,14,45,1.261747,
0,23,34,0.720105,
0,13,56,0.8993937,
0,6,77,0.8598462,
0,25,45,1.177865,
0,9,76,0.9209212,
0,18,34,4.679469,
0,1,65,0.6806167,
0,19,76,0.7202041,
0,12,87,0.7393741,
0,3,12,0.8798096,
0,4,43,0.5179386,
0,10,54,0.5396098,
0,8,65,0.5617044,
0,11,76,3.396287,
