Participants,TrailNum,result,time,
0,0,12,4.76015,
0,0,32,0.8770124,
0,0,43,0.5175612,
0,0,54,0.5382085,
0,0,23,0.4818397,
0,0,54,0.4987627,
0,0,65,0.6425935,
0,0,23,1.021245,
0,0,54,0.7436456,
0,0,65,0.7005676,
0,0,12,0.6586037,
0,0,54,0.8215294,
0,0,76,0.9619626,
0,0,34,0.8398362,
0,0,65,0.7598508,
0,0,76,1.076641,
0,0,5,1.239148,
0,0,4,0.8405613,
0,0,2,0.5385756,
0,0,67,0.6781489,
0,0,3,0.5207668,
0,0,3,0.5212188,
0,0,3,0.4628207,
0,0,3,0.5210973,
0,0,3,0.4384708,
0,0,2,1.44625,
0,0,3,0.7992598,
0,0,3,0.8212886,
0,0,5,2.261873,
0,0,43,1.098727,
