Participants,TrailNum,result,time,
0,25,12,1.678732,
0,2,43,0.6999183,
0,12,53,0.8608859,
0,16,65,0.5793869,
0,6,76,0.7358358,
0,11,23,0.6981483,
0,28,54,0.7784624,
0,21,65,0.6400445,
0,10,75,0.8983704,
0,1,35,0.8034317,
0,4,75,0.9419547,
0,22,74,0.7767245,
0,7,64,0.9594128,
0,20,7,0.6202687,
0,17,4,0.7201297,
0,9,4,0.5202035,
0,13,7,0.5614695,
0,14,3,8.081619,
0,0,4,0.9582179,
0,15,6,0.5620576,
0,26,5,1.562619,
0,5,6,0.6217834,
0,8,5,0.82011,
0,18,3,1.599314,
0,3,5,1.360555,
0,29,6,0.6597121,
0,23,7,1.181415,
0,19,7,0.8409906,
0,24,32,1.240394,
0,27,6,0.9558461,
