Participants,TrailNum,result,time,
0,6,12,0.9174702,
0,25,43,0.5594566,
0,17,54,0.7393208,
0,16,65,0.4785364,
0,5,23,0.7991312,
0,21,54,0.4837458,
0,23,65,0.434947,
0,1,23,0.739181,
0,8,65,0.4799177,
0,28,1,0.7178566,
0,4,4,0.498286,
0,15,6,0.4422669,
0,26,8,0.4996572,
0,27,10,1.581339,
0,7,5,0.3635642,
0,18,23,2.118683,
0,19,54,0.4802921,
0,12,65,0.6039473,
0,9,76,0.7987686,
0,20,23,1.298812,
0,2,54,0.6812835,
0,29,65,0.7003016,
0,24,76,0.7825913,
0,13,87,0.658659,
0,3,12,0.9016671,
0,22,54,0.7594334,
0,14,76,0.8190178,
0,0,87,0.8027076,
0,11,45,1.26099,
0,10,23,2.702352,
