Participants,TrailNum,result,time,
0,12,13,1.479233,
0,24,6,1.802082,
0,5,65,0.8376985,
0,6,34,0.8003058,
0,20,65,0.8414059,
0,27,34,0.6792259,
0,9,6,0.9953898,
0,15,4,0.7397984,
0,2,6,0.5602426,
0,16,3,0.8801226,
0,7,6,0.6401777,
0,14,5,0.6019471,
0,13,6,0.7404549,
0,8,3,0.6405523,
0,3,2,0.6773003,
0,11,6,1.220207,
0,4,7,0.6981224,
0,17,8,0.9765139,
0,23,2,1.157965,
0,0,4,0.9632745,
0,28,7,0.7625468,
0,25,8,0.7417642,
0,19,3,1.280117,
0,18,2,0.6784149,
0,22,4,0.7603849,
0,10,7,0.773098,
0,26,2,1.117069,
0,1,7,1.060406,
0,29,2,1.120786,
0,21,7,1.959167,
