Participants,TrailNum,result,time,
0,0,4,0.5003222,
0,0,5,0.9234989,
0,0,2,0.6209147,
0,0,3,1.917645,
0,0,3,1.582418,
0,0,43,0.7795758,
0,0,54,0.8391844,
0,0,34,0.8365979,
0,0,23,0.7785663,
0,0,12,0.7813609,
0,0,43,1.100649,
0,0,53,0.9006616,
0,0,2,0.797511,
0,0,5,0.6616473,
0,0,3,0.9981802,
0,0,2,1.858805,
0,0,4,1.199419,
0,0,4,1.600415,
0,0,43,0.9617651,
0,0,43,0.877941,
0,0,4,1.419015,
0,0,5,1.498534,
0,0,6,0.8603457,
0,0,34,1.08227,
0,0,6,0.879511,
0,0,3,0.7802339,
0,0,5,0.9017772,
0,0,3,1.158726,
0,0,6,1.280679,
0,0,2,0.7615176,
