Participants,TrailNum,result,time,
0,8,54,1.042425,
0,5,3,0.5632068,
0,7,5,0.4806481,
0,3,6,0.5785474,
0,20,3,0.4998941,
0,9,5,1.280476,
0,25,3,0.6610409,
0,4,6,0.6585776,
0,18,2,0.5977764,
0,13,6,0.6637241,
0,22,4,0.5817369,
0,10,7,0.8984519,
0,1,7,0.6809987,
0,12,6,2.204776,
0,11,7,0.6575744,
0,24,2,0.6791635,
0,17,5,0.8814437,
0,15,6,0.6002634,
0,28,7,0.7012056,
0,23,7,0.9196727,
0,16,8,0.9372275,
0,19,3,0.7203035,
0,2,6,0.9606908,
0,0,7,0.7383442,
0,21,1,0.8605228,
0,26,4,0.6146382,
0,6,6,0.640698,
0,14,7,0.6230788,
0,29,8,1.161607,
0,27,9,0.7607248,
