Participants,TrailNum,result,time,
0,28,12,1.883185,
0,29,43,0.52305,
0,27,212,0.5980782,
0,7,43,0.5413659,
0,1,54,0.7001175,
0,23,65,0.4787283,
0,6,23,0.8375106,
0,9,53,0.8578705,
0,20,65,0.6797861,
0,17,23,0.7815307,
0,11,65,0.5760709,
0,15,23,0.6208494,
0,24,65,0.6007686,
0,3,76,0.5984107,
0,21,34,0.6379352,
0,0,76,0.6994684,
0,13,34,0.4211891,
0,18,655,0.6212823,
0,8,34,0.4599732,
0,22,67,0.5005123,
0,12,45,1.121086,
0,16,65,0.6761099,
0,10,23,0.8798943,
0,5,54,0.4399715,
0,26,65,0.7605031,
0,2,76,0.7210509,
0,25,87,0.7597114,
0,14,45,0.7001166,
0,4,76,0.7053376,
0,19,23,1.320939,
