Participants,TrailNum,result,time,
2,14,2,1.063184,
2,14,4,0.5998566,
2,28,7,0.6183318,
2,20,6,0.9372331,
2,16,7,1.201532,
2,6,7,0.6421658,
2,19,5,0.7017182,
2,17,7,0.7178867,
2,4,3,0.7978055,
2,7,5,0.6598582,
2,2,7,0.6001405,
2,22,8,0.5798864,
2,9,9,0.6204306,
2,10,3,0.5637931,
2,11,5,0.6386281,
2,23,7,0.5795985,
2,18,8,0.6437368,
2,15,9,0.640071,
2,28,1,0.697745,
2,1,2,0.6403862,
2,3,4,0.6005247,
2,24,6,0.5803623,
2,8,7,0.5996271,
2,27,8,0.7600614,
2,12,9,0.7172146,
2,21,3,0.6382623,
2,26,5,0.7202125,
2,25,7,0.7180318,
2,0,8,0.747509,
2,29,1,1.081996,
