Participants,TrailNum,result,time,
0,1,12,1.297731,
0,29,5,0.5375987,
0,11,6,0.5989344,
0,0,43,1.083058,
0,15,65,1.121303,
0,3,43,0.5591317,
0,22,65,0.7571521,
0,6,76,0.7806194,
0,13,34,0.619203,
0,23,12,0.4805686,
0,26,54,0.5429743,
0,4,65,0.7183844,
0,19,23,0.7382106,
0,8,65,0.6007171,
0,18,43,0.6221421,
0,24,65,0.5412369,
0,9,7,0.36114,
0,16,5,0.9613045,
0,20,7,1.039788,
0,10,34,0.559852,
0,21,65,0.6997085,
0,5,34,0.7601028,
0,2,7,0.7011051,
0,14,2,0.8605136,
0,28,4,0.7531824,
0,12,6,0.9367172,
0,7,7,0.8612511,
0,25,7,0.8788878,
0,27,3,1.421274,
0,17,54,2.420076,
