Participants,TrailNum,result,time,
0,25,2,0.7572398,
0,6,4,0.7203197,
0,26,5,1.480076,
0,17,4,1.238096,
0,20,4,1.340503,
0,28,3,0.6990134,
0,12,4,0.5605655,
0,23,3,0.5586944,
0,22,4,0.8583606,
0,4,2,1.739404,
0,7,3,1.219463,
0,18,4,0.6412653,
0,15,2,1.141232,
0,16,6,0.8614873,
0,3,4,0.878254,
0,8,5,0.6185177,
0,27,6,0.5430793,
0,10,3,1.100326,
0,14,2,1.318889,
0,24,4,0.8375298,
0,0,8,0.9204096,
0,1,7,1.017497,
0,11,6,0.7783184,
0,9,8,0.7190766,
0,29,6,0.6800805,
0,2,9,0.9197053,
0,21,5,0.920177,
0,13,7,0.8621176,
0,5,8,0.7210668,
0,19,9,0.5998955,
