TrailNumber,Distance,rendering,repeatingTime
0,2.76,s,1
1,2.12,s,1
2,3.5,s,1
3,1.33,s,1
4,1.56,s,1
5,2.76,w,1
6,2.12,w,1
7,3.5,w,1
8,1.33,w,1
9,1.56,w,1
10,2.76,s,2
11,2.12,s,2
12,3.5,s,2
13,1.33,s,2
14,1.56,s,2
15,2.76,w,2
16,2.12,w,2
17,3.5,w,2
18,1.33,w,2
19,1.56,w,2
20,2.76,s,3
21,2.12,s,3
22,3.5,s,3
23,1.33,s,3
24,1.56,s,3
25,2.76,w,3
26,2.12,w,3
27,3.5,w,3
28,1.33,w,3
29,1.56,w,3
